#NAME?	#NAME?
(1) (Japanese) maple	(1) (Japanischer) Ahorn
I spent a lot this month.	Ich habe diesen Monat viel ausgegeben.
I spent too much today.	Ich habe heute zu viel ausgegeben.
I stay at a hotel.	Ich übernachte in einem Hotel.
I stayed up late.	Ich blieb lange wach.
I studied Japanese.	Ich habe Japanisch gelernt.
I study Japanese (ongoing).	Ich lerne Japanisch (laufend).
I study Japanese every day.	Ich lerne jeden Tag Japanisch.
I study Japanese.	Ich lerne Japanisch.
I study at the library.	Ich lerne in der Bibliothek.
I study on Monday.	Ich lerne am Montag.
I study while listening to music.	Ich lerne, während ich Musik höre.
I suggest that he be given another chance.	Ich schlage vor, dass man ihm noch eine Chance gibt.
I swam in the pool.	Ich bin im Pool geschwommen.
I swim in the sea.	Ich schwimme im Meer.
I take a hot bath at night.	Abends nehme ich ein heißes Bad.
I take a photo.	Ich mache ein Foto.
I take a shower in the morning.	Ich dusche morgens.
I take a shower.	Ich dusche.
I take a walk every day.	Ich mache jeden Tag einen Spaziergang.
I take notes in class.	Ich mache mir im Unterricht Notizen.
I take notes.	Ich mache mir Notizen.
I take off my shoes.	Ich ziehe meine Schuhe aus.
I talk with the teacher.	Ich rede mit dem Lehrer.
I teach Japanese at school.	Ich unterrichte Japanisch in der Schule.
I tell (them) by phone and email.	Ich sage es ihnen per Telefon und E-Mail.
I think it will rain tomorrow.	Ich denke, dass es morgen regnen wird.
I think it will rain tonight.	Ich denke, dass es heute Nacht regnen wird.
I think it's a good idea.	Ich denke, es ist eine gute Idee.
I think it's difficult.	Ich denke, es ist schwierig.
I think it's good.	Ich finde es gut.
I think she will agree.	Ich denke, sie wird zustimmen.
I think you should take the job.	Ich denke, du solltest den Job annehmen.
I told her the good news.	Ich erzählte ihr die gute Nachricht.
I told him I didn't know.	Ich sagte ihm, dass ich es nicht wüsste.
I told them I would be late.	Ich sagte ihnen, dass ich zu spät kommen würde.
I took a day off because I was sick.	Ich habe mir einen Tag frei genommen, weil ich krank war.
I took a photo.	Ich habe ein Foto gemacht.
I took five photos.	Ich habe fünf Fotos gemacht.
I travel to Japan.	Ich reise nach Japan.
I trust my best friend.	Ich vertraue meinem besten Freund.
I try to exercise every day now.	Ich versuche jetzt jeden Tag Sport zu treiben.
I turn right.	Ich biege rechts ab.
I understand	Ich verstehe
I understand Japanese.	Ich verstehe Japanisch.
I understand a little Japanese.	Ich verstehe ein wenig Japanisch.
I use a payment app.	Ich nutze eine Bezahl-App.
I used to play cricket every weekend.	Ich habe jedes Wochenende Cricket gespielt.
I usually have an early lunch.	Normalerweise esse ich früh zu Mittag.
I usually ride a bike.	Normalerweise fahre ich Fahrrad.
I usually work from nine to six.	Normalerweise arbeite ich von neun bis sechs.
I visit my family on holidays.	Ich besuche meine Familie in den Ferien.
I wait by the sea.	Ich warte am Meer.
I wait for a friend at the station.	Ich warte am Bahnhof auf einen Freund.
I wait for a friend.	Ich warte auf einen Freund.
I waited an hour.	Ich habe eine Stunde gewartet.
I wake up at 10 o'clock.	Ich wache um 10 Uhr auf.
I wake up at 6 o'clock.	Ich wache um 6 Uhr auf.
I wake up at 7 in the morning.	Ich wache um 7 Uhr morgens auf.
I wake up at 7 o'clock.	Ich wache um 7 Uhr auf.
I wake up at seven every day.	Ich wache jeden Tag um sieben auf.
I wake up at six every day.	Ich wache jeden Tag um sechs auf.
I wake up early in the morning.	Ich wache morgens früh auf.
I wake up early.	Ich wache früh auf.
I walk every day for health.	Aus gesundheitlichen Gründen gehe ich jeden Tag spazieren.
I walk every day.	Ich gehe jeden Tag spazieren.
I walk with my dog.	Ich gehe mit meinem Hund spazieren.
I want a bicycle.	Ich möchte ein Fahrrad.
I want a new car.	Ich möchte ein neues Auto.
I want money.	Ich will Geld.
I want one car.	Ich möchte ein Auto.
I want to become a Japanese teacher.	Ich möchte Japanischlehrer werden.
I want to become a teacher.	Ich möchte Lehrer werden.
I want to buy a new car.	Ich möchte ein neues Auto kaufen.
I want to buy souvenirs.	Ich möchte Souvenirs kaufen.
I want to climb a mountain.	Ich möchte einen Berg besteigen.
I want to draw a picture.	Ich möchte ein Bild zeichnen.
I want to drink coffee.	Ich möchte Kaffee trinken.
I want to drink water.	Ich möchte Wasser trinken.
I want to eat Japanese food.	Ich möchte japanisches Essen essen.
I want to eat at this restaurant.	Ich möchte in diesem Restaurant essen.
I want to eat gyoza.	Ich möchte Gyoza essen.
I want to eat sushi.	Ich möchte Sushi essen.
I want to eat together with everyone.	Ich möchte mit allen zusammen essen.
I want to give a present.	Ich möchte ein Geschenk machen.
I want to go to Japan.	Ich möchte nach Japan gehen.
I want to learn Japanese.	Ich möchte Japanisch lernen.
I want to learn cooking.	Ich möchte Kochen lernen.
I want to listen to music.	Ich möchte Musik hören.
I want to meet my friend.	Ich möchte meinen Freund treffen.
I want to quit my job.	Ich möchte meinen Job kündigen.
I want to read this book.	Ich möchte dieses Buch lesen.
I want to rest tomorrow.	Ich möchte mich morgen ausruhen.
I want to return to my hometown.	Ich möchte in meine Heimatstadt zurückkehren.
I want to sleep early.	Ich möchte früh schlafen.
I want to study Japanese.	Ich möchte Japanisch lernen.
I want to study abroad.	Ich möchte im Ausland studieren.
I want to study more.	Ich möchte mehr lernen.
I want to swim in the sea.	Ich möchte im Meer schwimmen.
I want to travel to a beautiful place.	Ich möchte an einen schönen Ort reisen.
I want to watch a movie.	Ich möchte einen Film sehen.
I want to withdraw cash.	Ich möchte Bargeld abheben.
I want water.	Ich will Wasser.
I want ~	Ich will ~
I was at home yesterday.	Ich war gestern zu Hause.
I was born in July.	Ich wurde im Juli geboren.
I was driving to work.	Ich fuhr zur Arbeit.
I was late for the train.	Ich kam zu spät zum Zug.
I was late for work.	Ich kam zu spät zur Arbeit.
I was late this morning.	Ich war heute Morgen spät dran.
I was praised by my grandmother when I was a child.	Als Kind wurde ich von meiner Großmutter gelobt.
I was sleeping when you called.	Ich habe geschlafen, als du angerufen hast.
I was so busy this week.	Ich war diese Woche so beschäftigt.
I was taking a shower when the power went out.	Ich duschte gerade, als der Strom ausfiel.
I was thinking about you.	Ich habe an dich gedacht.
I was tired yesterday.	Ich war gestern müde.
I was watching TV at nine.	Ich habe um neun ferngesehen.
I wash my hands.	Ich wasche meine Hände.
I wasn't listening carefully.	Ich habe nicht genau zugehört.
I watch TV at home.	Ich schaue zu Hause fern.
I watch TV every night.	Ich schaue jeden Abend fern.
I watch TV.	Ich schaue fern.
I watch a movie.	Ich schaue mir einen Film an.
I watched TV yesterday.	Ich habe gestern ferngesehen.
I watched a movie last night.	Ich habe gestern Abend einen Film gesehen.
I watched a movie with them.	Ich habe mit ihnen einen Film gesehen.
I watched a movie yesterday.	Ich habe gestern einen Film gesehen.
I water the plants every morning.	Ich gieße die Pflanzen jeden Morgen.
I wear a coat.	Ich trage einen Mantel.
I wear a suit to work.	Zur Arbeit trage ich einen Anzug.
I wear formal clothes at work.	Bei der Arbeit trage ich formelle Kleidung.
I went shopping last week.	Ich war letzte Woche einkaufen.
I went shopping with my mother.	Ich war mit meiner Mutter einkaufen.
I went to Delhi last month.	Ich war letzten Monat in Delhi.
I went to Tokyo last week.	Ich war letzte Woche in Tokio.
I went to the hospital.	Ich ging ins Krankenhaus.
I went to the market.	Ich ging zum Markt.
I went to the mountain alone.	Ich bin alleine auf den Berg gegangen.
I will be reading a book on the plane.	Ich werde im Flugzeug ein Buch lesen.
I will be sleeping when you arrive.	Ich werde schlafen, wenn du ankommst.
I will be waiting for you at the station.	Ich werde am Bahnhof auf Sie warten.
I will call you on Friday.	Ich rufe dich am Freitag an.
I will call you tomorrow.	Ich rufe dich morgen an.
I will climb it tomorrow. (formal)	Ich werde ihn morgen besteigen. (formell)
I will do my best	Ich werde mein Bestes geben
I will go tomorrow.	Ich werde morgen gehen.
I will have answered all the emails by noon.	Bis Mittag werde ich alle E-Mails beantwortet haben.
I will have finished the project by Friday.	Ich werde das Projekt bis Freitag abgeschlossen haben.
I will have read this book by the weekend.	Bis zum Wochenende werde ich dieses Buch gelesen haben.
I will have saved enough money by summer.	Bis zum Sommer werde ich genug Geld gespart haben.
I will study at home tonight.	Ich werde heute Abend zu Hause lernen.
I wish I had studied harder.	Ich wünschte, ich hätte härter gelernt.
I wish I knew the answer.	Ich wünschte, ich wüsste die Antwort.
I wish I were at the beach now.	Ich wünschte, ich wäre jetzt am Strand.
I wish I were good at math.	Ich wünschte, ich wäre gut in Mathe.
I wish I were not so tired.	Ich wünschte, ich wäre nicht so müde.
I wish I were taller.	Ich wünschte, ich wäre größer.
I wish I were with my family.	Ich wünschte, ich wäre bei meiner Familie.
I wish it were summer all year.	Ich wünschte, es wäre das ganze Jahr über Sommer.
I woke up early every morning.	Ich bin jeden Morgen früh aufgewacht.
I won't be staying late tonight.	Ich werde heute Nacht nicht lange bleiben.
I won't be using the car tonight.	Ich werde das Auto heute Abend nicht benutzen.
I won't forget your birthday.	Ich werde deinen Geburtstag nicht vergessen.
I won't go tomorrow.	Ich werde morgen nicht gehen.
I won't have finished by then.	Bis dahin werde ich noch nicht fertig sein.
I wore new shoes.	Ich trug neue Schuhe.
I work as an engineer.	Ich arbeite als Ingenieur.
I work at a company.	Ich arbeite in einem Unternehmen.
I work at a hospital.	Ich arbeite in einem Krankenhaus.
I work from home on Fridays.	Freitags arbeite ich von zu Hause aus.
I work until evening.	Ich arbeite bis zum Abend.
I work with a great team.	Ich arbeite mit einem tollen Team.
I work.	Ich arbeite.
I worked as a career counselor.	Ich habe als Berufsberater gearbeitet.
I worked late last night.	Ich habe letzte Nacht bis spät in die Nacht gearbeitet.
I worked late yesterday.	Ich habe gestern lange gearbeitet.
I would like a .	Ich hätte gerne eine .
I would like a cup of coffee.	Ich hätte gerne eine Tasse Kaffee.
I would like to book a room.	Ich möchte ein Zimmer buchen.
I would like to greet you	Ich möchte Sie begrüßen
I would like to thank you.	Ich möchte Ihnen danken.
I would love to visit Japan.	Ich würde gerne Japan besuchen.
I would prefer to walk.	Ich würde lieber laufen.
I would rather stay home.	Ich bleibe lieber zu Hause.
I wouldn't do that if I were you.	An deiner Stelle würde ich das nicht tun.
I write a letter.	Ich schreibe einen Brief.
I write a report on the computer.	Ich schreibe einen Bericht am Computer.
I write with a pen.	Ich schreibe mit einem Stift.
I wrote a letter.	Ich habe einen Brief geschrieben.
I wrote a report.	Ich habe einen Bericht geschrieben.
I'd like a beer, please.	Ich hätte gerne ein Bier, bitte.
I'd like the pasta, please.	Ich hätte gerne die Pasta, bitte.
I'd like to check in, please.	Ich möchte bitte einchecken.
I'd like to check in.	Ich würde gerne einchecken.
I'd love to join you.	Ich würde gerne dabei sein.
I'll be there in an hour.	Ich bin in einer Stunde da.
I'll be thinking of you.	Ich werde an dich denken.
I'll call again later.	Ich rufe später noch einmal an.
I'll call back later.	Ich rufe später noch einmal an.
I'll call back.	Ich rufe zurück.
I'll call in the evening.	Ich rufe am Abend an.
I'll call you back.	Ich rufe Sie zurück.
I'll call you right back.	Ich rufe Sie gleich zurück.
I'll do a check-up.	Ich werde eine Untersuchung durchführen.
I'll do my best.	Ich werde mein Bestes geben.
I'll do the same for you.	Ich werde das Gleiche für Sie tun.
I'll eat cake.	Ich werde Kuchen essen.
I'll get off at the next stop.	Ich steige an der nächsten Haltestelle aus.
I'll give a present.	Ich werde ein Geschenk machen.
I'll go by train.	Ich fahre mit der Bahn.
I'll go to Japan to study Japanese.	Ich werde nach Japan gehen, um Japanisch zu lernen.
I'll go together with my friend.	Ich gehe zusammen mit meinem Freund.
I'll have eggs and toast.	Ich nehme Eier und Toast.
I'll have lemonade.	Ich nehme Limonade.
I'll have this, please	Ich werde das bitte haben
I'll help you with your bags.	Ich helfe dir mit deinen Taschen.
I'll look it up online.	Ich werde es online nachschlagen.
I'll make a call.	Ich rufe an.
I'll open the present.	Ich werde das Geschenk öffnen.
I'll open the window for you.	Ich öffne das Fenster für dich.
I'll pay for everyone.	Ich werde für alle bezahlen.
I'll pay in cash.	Ich zahle bar.
I'll pay you back tomorrow.	Ich werde es dir morgen zurückzahlen.
I'll pick you up at home.	Ich hole dich zu Hause ab.
I'll prescribe some medicine for you.	Ich werde dir ein Medikament verschreiben.
I'll see a doctor.	Ich werde einen Arzt aufsuchen.
I'll see you at seven.	Wir sehen uns um sieben.
I'll send a confirmation email.	Ich sende eine Bestätigungs-E-Mail.
I'll send it by LINE.	Ich schicke es per LINE.
I'll send you a message.	Ich schicke dir eine Nachricht.
I'll send you the details later.	Ich schicke Ihnen die Details später.
I'll stay for three days.	Ich bleibe drei Tage.
I'll take the blue one, please.	Ich nehme bitte das blaue.
I'll take this one.	Ich werde dieses nehmen.
I'll take this.	Ich nehme das.
I'll think about it.	Ich werde darüber nachdenken.
I'll walk to the station.	Ich gehe zum Bahnhof.
I'll watch a movie tomorrow.	Ich schaue mir morgen einen Film an.
I'll withdraw money at the bank.	Ich werde Geld bei der Bank abheben.
I'll work overtime.	Ich werde Überstunden machen.
I'll write a letter for my mother.	Ich werde einen Brief für meine Mutter schreiben.
I'm a little nervous.	Ich bin etwas nervös.
I'm a little tired today.	Ich bin heute etwas müde.
I'm a university student.	Ich bin ein Universitätsstudent.
I'm always late.	Ich komme immer zu spät.
I'm angry about it.	Ich bin wütend darüber.
I'm angry.	Ich bin wütend.
I'm annoyed.	Ich bin genervt.
I'm bleeding.	Ich blute.
I'm bored.	Mir ist langweilig.
I'm completely lost.	Ich bin völlig verloren.
I'm curious about it.	Ich bin neugierig darauf.
I'm doing research related to the environment.	Ich betreibe umweltbezogene Forschung.
I'm excited about the trip.	Ich freue mich auf die Reise.
I'm fine	Mir geht es gut
I'm fine, thanks.	Mir geht es gut, danke.
I'm fine, thanks. And you?	Mir geht es gut, danke. Und du?
I'm fine.	Mir geht es gut.
I'm fine. (No thanks.)	Mir geht es gut. (Nein danke.)
I'm from India.	Ich komme aus Indien.
I'm frustrated.	Ich bin frustriert.
I'm full of energy.	Ich bin voller Energie.
I'm full.	Ich bin satt.
I'm going shopping today.	Ich gehe heute einkaufen.
I'm going to Kyoto next week.	Ich fahre nächste Woche nach Kyoto.
I'm going to bed early tonight.	Ich gehe heute Abend früh zu Bett.
I'm going to buy a new phone.	Ich werde ein neues Telefon kaufen.
I'm going to cook dinner tonight.	Ich werde heute Abend das Abendessen kochen.
I'm going to learn to swim this summer.	Ich werde diesen Sommer schwimmen lernen.
I'm going to start a business.	Ich werde ein Unternehmen gründen.
I'm going to study abroad next year.	Ich werde nächstes Jahr im Ausland studieren.
I'm going to take a short break.	Ich werde eine kurze Pause machen.
I'm going to the bank.	Ich gehe zur Bank.
I'm going to the beach tomorrow.	Ich gehe morgen an den Strand.
I'm going to the hospital.	Ich gehe ins Krankenhaus.
I'm happy today.	Ich bin heute glücklich.
I'm having a party on Saturday.	Ich gebe am Samstag eine Party.
I'm here.	Ich bin hier.
I'm home	Ich bin zu Hause
I'm hungry.	Ich habe Hunger.
I'm in a good mood.	Ich bin gut gelaunt.
I'm in love.	Ich bin verliebt.
I'm interested in learning languages.	Ich interessiere mich für das Erlernen von Sprachen.
I'm just looking, thanks.	Ich schaue nur, danke.
I'm learning English.	Ich lerne Englisch.
I'm learning new skills at work.	Ich lerne bei der Arbeit neue Fähigkeiten.
I'm leaving home and coming back	Ich verlasse mein Zuhause und komme zurück
I'm leaving in 5 minutes.	Ich gehe in 5 Minuten.
I'm leaving the office now.	Ich verlasse jetzt das Büro.
I'm looking for a hotel.	Ich suche ein Hotel.
I'm looking for something cheap.	Ich suche etwas Günstiges.
I'm lost.	Ich bin verloren.
I'm meeting a friend at 4.	Ich treffe mich um 16 Uhr mit einem Freund.
I'm most grateful / sorry	Ich bin sehr dankbar/leid
I'm not sure about that.	Da bin ich mir nicht sicher.
I'm not sure yet.	Ich bin mir noch nicht sicher.
I'm not tired today.	Ich bin heute nicht müde.
I'm off (and will return)	Ich bin weg (und werde zurückkommen)
I'm off (said when leaving)	Ich bin weg (sagte beim Verlassen)
I'm off work today.	Ich habe heute frei.
I'm out of money.	Ich habe kein Geld mehr.
I'm planning a trip next month.	Ich plane nächsten Monat eine Reise.
I'm proud of you.	Ich bin stolz auf dich.
I'm reading an interesting book.	Ich lese ein interessantes Buch.
I'm really looking forward to it.	Ich freue mich wirklich darauf.
I'm sad.	Ich bin traurig.
I'm saving for a new phone.	Ich spare für ein neues Telefon.
I'm saving up my allowance.	Ich spare mein Taschengeld.
I'm scared of spiders.	Ich habe Angst vor Spinnen.
I'm scared.	Ich habe Angst.
I'm sleepy, I want to sleep.	Ich bin müde, ich möchte schlafen.
I'm sleepy.	Ich bin müde.
I'm so happy today.	Ich bin heute so glücklich.
I'm sorry	Es tut mir leid
I'm sorry.	Es tut mir leid.
I'm sorry. (casual)	Es tut mir Leid. (lässig)
I'm studying Japanese.	Ich lerne Japanisch.
I'm studying for the exam.	Ich lerne für die Prüfung.
I'm thirsty.	Ich habe Durst.
I'm tired from work.	Ich bin müde von der Arbeit.
I'm tired today.	Ich bin heute müde.
I'm twenty-five years old.	Ich bin fünfundzwanzig Jahre alt.
I'm very sorry	Es tut mir sehr leid
I'm worried about the exam.	Ich mache mir Sorgen wegen der Prüfung.
I'm worried.	Ich mache mir Sorgen.
I've already finished the book.	Ich habe das Buch bereits beendet.
I've come to be able to speak Japanese.	Ich bin gekommen, um Japanisch sprechen zu können.
I've decided not to drink alcohol.	Ich habe beschlossen, keinen Alkohol zu trinken.
I've just arrived.	Ich bin gerade angekommen.
I've started eating vegetables.	Ich habe angefangen, Gemüse zu essen.
I, me (male or female)	Ich, ich (männlich oder weiblich)
I, me (males only)	Ich, ich (nur für Männer)
ID	Ausweis
IT	IT
Ice	Eis
If I felt better, I would come.	Wenn es mir besser ginge, würde ich kommen.
If I find out the address, I'll tell you.	Wenn ich die Adresse herausfinde, sage ich es dir.
If I get hungry, I'll eat bread.	Wenn ich Hunger habe, esse ich Brot.
If I go to Japan, I will eat sushi.	Wenn ich nach Japan gehe, werde ich Sushi essen.
If I had a car, I would drive to work.	Wenn ich ein Auto hätte, würde ich zur Arbeit fahren.
If I had known, I would have come earlier.	Wenn ich das gewusst hätte, wäre ich früher gekommen.
If I had money, I would travel.	Wenn ich Geld hätte, würde ich reisen.
If I had more time, I would travel more.	Wenn ich mehr Zeit hätte, würde ich mehr reisen.
If I had studied medicine, I would be a doctor now.	Wenn ich Medizin studiert hätte, wäre ich jetzt Arzt.
If I had wings, I would fly.	Wenn ich Flügel hätte, würde ich fliegen.
If I have money, I'll buy a car.	Wenn ich Geld habe, kaufe ich ein Auto.
If I have time, I will visit you.	Wenn ich Zeit habe, werde ich dich besuchen.
If I have time, I'll go to see you.	Wenn ich Zeit habe, werde ich dich besuchen.
If I have time, I'll go to the library.	Wenn ich Zeit habe, gehe ich in die Bibliothek.
If I have time, I'll help.	Wenn ich Zeit habe, helfe ich.
If I knew the answer, I would tell you.	Wenn ich die Antwort wüsste, würde ich es dir sagen.
If I sleep early, I can wake up early.	Wenn ich früh schlafe, kann ich früh aufstehen.
If I were a bird, I would fly high.	Wenn ich ein Vogel wäre, würde ich hoch fliegen.
If I were a doctor, I would help people.	Wenn ich Arzt wäre, würde ich Menschen helfen.
If I were a millionaire, I would donate.	Wenn ich Millionär wäre, würde ich spenden.
If I were an artist, I would paint.	Wenn ich Künstler wäre, würde ich malen.
If I were famous, people would know me.	Wenn ich berühmt wäre, würden die Leute mich kennen.
If I were in your shoes, I would quit.	An deiner Stelle würde ich aufhören.
If I were rich, I would travel the world.	Wenn ich reich wäre, würde ich die Welt bereisen.
If I were you, I would accept the offer.	An deiner Stelle würde ich das Angebot annehmen.
If I were you, I would apologize.	Wenn ich du wäre, würde ich mich entschuldigen.
If I were you, I would rest.	Wenn ich du wäre, würde ich mich ausruhen.
If I were you, I would see a doctor.	An deiner Stelle würde ich einen Arzt aufsuchen.
If I were you, I wouldn't worry.	Wenn ich du wäre, würde ich mir keine Sorgen machen.
If I were younger, I would learn to sing.	Wenn ich jünger wäre, würde ich singen lernen.
If I'm busy, I won't go.	Wenn ich beschäftigt bin, gehe ich nicht.
If he practiced, he would play well.	Wenn er übte, würde er gut spielen.
If he were here, he would help us.	Wenn er hier wäre, würde er uns helfen.
If he were smarter, he would pass.	Wenn er schlauer wäre, würde er bestehen.
If it doesn't rain, the game will go on.	Wenn es nicht regnet, geht das Spiel weiter.
If it is sunny tomorrow, we will go to the park.	Wenn es morgen sonnig ist, gehen wir in den Park.
If it rains, I will stay at home.	Wenn es regnet, bleibe ich zu Hause.
If it rains, I will stay home.	Wenn es regnet, bleibe ich zu Hause.
If it rains, I won't take a walk.	Wenn es regnet, mache ich keinen Spaziergang.
If it rains, I'll stay home.	Wenn es regnet, bleibe ich zu Hause.
If it snows, we will make a snowman.	Wenn es schneit, bauen wir einen Schneemann.
If it were colder, we would need coats.	Wenn es kälter wäre, bräuchten wir Mäntel.
If it were sunny, we would go out.	Wenn es sonnig wäre, würden wir ausgehen.
If it were to rain, the event would be cancelled.	Sollte es regnen, würde die Veranstaltung abgesagt.
If it's Japanese, I understand a little.	Wenn es Japanisch ist, verstehe ich es ein wenig.
If it's a holiday, I'll stay home.	Wenn es ein Feiertag ist, bleibe ich zu Hause.
If it's cheap, I'll buy it.	Wenn es günstig ist, kaufe ich es.
If it's cold, I'll wear a coat.	Wenn es kalt ist, trage ich einen Mantel.
If it's expensive, I won't buy it.	Wenn es teuer ist, werde ich es nicht kaufen.
If it's hot, I'll turn on the AC.	Wenn es heiß ist, schalte ich die Klimaanlage ein.
If it's sunny tomorrow, I'll go to the park.	Wenn es morgen sonnig ist, gehe ich in den Park.
If it's this, it's fine.	Wenn es das ist, ist es in Ordnung.
If it's tomorrow, I can go.	Wenn es morgen ist, kann ich gehen.
If it's too much, let's stop.	Wenn es zu viel ist, hören wir auf.
If only she were here!	Wenn sie nur hier wäre!
If she calls, tell her I'm busy.	Wenn sie anruft, sagen Sie ihr, dass ich beschäftigt bin.
If she comes, I'll talk to her.	Wenn sie kommt, werde ich mit ihr reden.
If she had time, she would help.	Wenn sie Zeit hätte, würde sie helfen.
If she hadn't missed the train, she would be here.	Wenn sie den Zug nicht verpasst hätte, wäre sie hier.
If she knew, she would help.	Wenn sie es wüsste, würde sie helfen.
If she were here, she would laugh.	Wenn sie hier wäre, würde sie lachen.
If she were the boss, things would change.	Wenn sie die Chefin wäre, würden sich die Dinge ändern.
If she won, she would be happy.	Wenn sie gewinnen würde, wäre sie glücklich.
If the price were lower, I would buy it.	Wenn der Preis niedriger wäre, würde ich es kaufen.
If there were more time, we could rest.	Wenn wir mehr Zeit hätten, könnten wir uns ausruhen.
If they come early, we will start.	Wenn sie früher kommen, fangen wir an.
If they were here, they would enjoy it.	Wenn sie hier wären, würden sie es genießen.
If we leave now, we will catch the train.	Wenn wir jetzt gehen, nehmen wir den Zug.
If we miss the train, we will be late.	Wenn wir den Zug verpassen, kommen wir zu spät.
If we were rich, we would buy a house.	Wenn wir reich wären, würden wir ein Haus kaufen.
If we won the lottery, we would buy a house.	Wenn wir im Lotto gewinnen würden, würden wir ein Haus kaufen.
If we work together, we can finish.	Wenn wir zusammenarbeiten, können wir es schaffen.
If you are hungry, have some bread.	Wenn Sie Hunger haben, essen Sie etwas Brot.
If you ask me, we should wait.	Wenn Sie mich fragen, sollten wir warten.
If you don't hurry, you will miss the bus.	Wenn Sie sich nicht beeilen, verpassen Sie den Bus.
If you don't sleep, you will be tired.	Wer nicht schläft, wird müde.
If you don't understand, please ask.	Wenn Sie es nicht verstehen, fragen Sie bitte nach.
If you eat too much, you will feel sick.	Wenn Sie zu viel essen, wird Ihnen schlecht.
If you freeze water, it becomes ice.	Wenn man Wasser einfriert, wird es zu Eis.
If you heat water, it boils.	Wenn man Wasser erhitzt, kocht es.
If you hurry, you'll make it.	Wenn du dich beeilst, wirst du es schaffen.
If you look, you'll understand.	Wenn du hinschaust, wirst du es verstehen.
If you mix red and white, you get pink.	Wenn man Rot und Weiß mischt, erhält man Rosa.
If you press the button, the door opens.	Wenn Sie den Knopf drücken, öffnet sich die Tür.
If you press this button, the machine stops.	Wenn Sie diese Taste drücken, stoppt die Maschine.
If you study hard, you will pass.	Wenn du fleißig lernst, wirst du bestehen.
If you study, you'll get good at it.	Wenn du lernst, wirst du gut darin sein.
If you study, you'll understand.	Wenn du studierst, wirst du es verstehen.
If you touch fire, you get burned.	Wer Feuer berührt, verbrennt sich.
If you were me, what would you say?	Wenn du ich wärest, was würdest du sagen?
If you were near me, I'd be happy.	Wenn du in meiner Nähe wärst, würde ich mich freuen.
In light of recent events, the meeting was postponed.	Aufgrund der jüngsten Ereignisse wurde die Sitzung verschoben.
In my opinion, it's too expensive.	Meiner Meinung nach ist es zu teuer.
In terms of cost, this is the better option.	Aus Kostengründen ist dies die bessere Option.
In terms of expenses, transport costs are high.	Was den Aufwand betrifft, sind die Transportkosten hoch.
In the morning when the sun rises, it's cold.	Morgens, wenn die Sonne aufgeht, ist es kalt.
Independence Day	Unabhängigkeitstag
Indian food is spicy.	Indisches Essen ist scharf.
Is card okay?	Ist die Karte in Ordnung?
Is he your father?	Ist er dein Vater?
Is it already over?	Ist es schon vorbei?
Is it far from here?	Ist es weit von hier?
Is it far to the beach?	Ist es weit bis zum Strand?
Is it free?	Ist es kostenlos?
Is it okay if I don't come tomorrow?	Ist es in Ordnung, wenn ich morgen nicht komme?
Is she a student?	Ist sie Studentin?
Is she going to join us?	Wird sie sich uns anschließen?
Is she watching TV?	Sieht sie fern?
Is that person a teacher?	Ist diese Person ein Lehrer?
Is the beach far from here?	Ist der Strand weit von hier entfernt?
Is the shrimp fresh?	Ist die Garnele frisch?
Is there Wi-Fi?	Gibt es WLAN?
Is there a discount?	Gibt es einen Rabatt?
Is there a police station nearby?	Gibt es eine Polizeistation in der Nähe?
Is there a shortcut?	Gibt es eine Verknüpfung?
Is there any bread left?	Ist noch Brot übrig?
Is there any sugar?	Gibt es Zucker?
Is there anything else I can help you with?	Gibt es sonst noch etwas, bei dem ich Ihnen helfen kann?
Is there free Wi-Fi?	Gibt es kostenloses WLAN?
Is this a book?	Ist das ein Buch?
Is this dish vegetarian?	Ist dieses Gericht vegetarisch?
Is this on sale?	Ist das im Angebot?
It can get very cold here in winter.	Im Winter kann es hier sehr kalt werden.
It costs ten dollars.	Es kostet zehn Dollar.
It could be argued that the policy is outdated.	Man könnte argumentieren, dass die Richtlinie veraltet ist.
It doesn't matter.	Es spielt keine Rolle.
It feels good.	Es fühlt sich gut an.
It has a big window.	Es hat ein großes Fenster.
It has been raining all day.	Es hat den ganzen Tag geregnet.
It has stopped raining.	Es hat aufgehört zu regnen.
It hurts here.	Es tut hier weh.
It is a beautiful day.	Es ist ein wunderschöner Tag.
It is a pretty flower.	Es ist eine hübsche Blume.
It is an interesting book.	Es ist ein interessantes Buch.
It is cold outside.	Es ist kalt draußen.
It is conduct unbecoming of a doctor.	Es ist ein Verhalten, das einem Arzt nicht gebührt.
It is essential that everyone attend.	Es ist wichtig, dass alle teilnehmen.
It is getting dark.	Es wird dunkel.
It is not expensive.	Es ist nicht teuer.
It is not money that matters most.	Es ist nicht das Geld, das am meisten zählt.
It is raining.	Es regnet.
It is snowing.	Es schneit.
It is vital that every vote be counted.	Es ist wichtig, dass jede Stimme gezählt wird.
It looks like a mild infection.	Es sieht nach einer leichten Infektion aus.
It looks like it might rain.	Es sieht so aus, als würde es regnen.
It looks like it's going to rain.	Es sieht so aus, als würde es regnen.
It looks like rain.	Es sieht nach Regen aus.
It matters not just at work but in private life too.	Es ist nicht nur im Beruf wichtig, sondern auch im Privatleben.
It may be difficult at first.	Am Anfang kann es schwierig sein.
It may take some time.	Es kann einige Zeit dauern.
It might rain later.	Es könnte später regnen.
